Date,ukpi,usgdp,ukgdp,uki,mideff,Lastuspi,exusuk,dukpi,dusi,duspi,duki,dexusuk
9/30/2016,0.7,2.9,0.5,0.21,0.4,1.5,,0.3,0.02,0.5,-0.25,
6/30/2016,0.4,1.4,0.7,0.46,0.38,1,1.3125,0.1,0.02,0.1,0,-0.1222
3/31/2016,0.3,0.8,0.4,0.46,0.36,0.9,1.4347,0.2,0.12,0.2,0,0.0037
12/31/2015,0.1,0.9,0.7,0.46,0.24,0.7,1.431,0.1,0.1,0.7,0.01,-0.0863
9/30/2015,0,2,0.3,0.45,0.14,0,1.5173,0,0.01,-0.1,-0.01,-0.0319
6/30/2015,0,2.6,0.5,0.46,0.13,0.1,1.5492,-0.1,0.02,0.2,0,0.0159
3/31/2015,0.1,2,0.3,0.46,0.11,-0.1,1.5333,-0.8,-0.01,-0.9,0.03,0.019
12/31/2014,0.9,2.3,0.8,0.43,0.12,0.8,1.5143,-0.6,0.03,-0.9,0,-0.0687
9/30/2014,1.5,5,0.8,0.43,0.09,1.7,1.583,-0.2,-0.01,-0.4,0,-0.0855
6/30/2014,1.7,4,0.9,0.43,0.1,2.1,1.6685,0,0.02,0.6,0.01,-0.0148
3/31/2014,1.7,-1.2,0.8,0.42,0.08,1.5,1.6833,-0.4,-0.01,0,0,0.0282
12/31/2013,2.1,4,0.5,0.42,0.09,1.5,1.6551,-0.6,0.01,0.3,-0.01,0.0357
9/30/2013,2.7,3.1,0.8,0.43,0.08,1.2,1.6194,0,-0.01,-0.6,0,0.0671
6/28/2013,2.7,0.8,0.5,0.43,0.09,1.8,1.5523,-0.1,-0.05,0.3,-0.01,0.0156
3/29/2013,2.8,2.8,0.6,0.44,0.14,1.5,1.5367,0.1,-0.02,-0.2,0.01,-0.0139
12/31/2012,2.7,0.1,-0.2,0.43,0.16,1.7,1.5506,0.3,0.02,-0.3,0,-0.0558
9/28/2012,2.4,0.5,1.1,0.43,0.14,2,1.6064,-0.4,-0.02,0.3,-0.06,0.025
6/29/2012,2.8,1.9,-0.1,0.49,0.16,1.7,1.5814,-0.7,0.03,-1,0,-0.0013
3/30/2012,3.5,2.7,0.4,0.49,0.13,2.7,1.5827,-1.1,0.06,-0.3,-0.03,0.011
12/30/2011,4.6,4.6,0.2,0.52,0.07,3,1.5717,-0.1,-0.01,-0.9,-0.03,-0.0003
9/30/2011,4.7,0.8,0.4,0.55,0.08,3.9,1.572,0.3,-0.01,0.3,0.02,-0.0375
6/30/2011,4.4,2.9,0.1,0.53,0.09,3.6,1.6095,0.3,-0.05,0.9,0.01,-0.0215
3/31/2011,4.1,-1.5,0.6,0.52,0.14,2.7,1.631,0.7,-0.04,1.2,0,0.0288
12/31/2010,3.4,2.5,0.1,0.52,0.18,1.5,1.6022,0.3,-0.01,0.4,0.02,0.0214
9/30/2010,3.1,2.7,0.6,0.5,0.19,1.1,1.5808,-0.4,0.01,0,0.01,0.0289
6/30/2010,3.5,3.9,1,0.49,0.18,1.1,1.5519,0.2,0.02,-1.2,0.02,0.0596
3/31/2010,3.3,1.7,0.5,0.47,0.16,2.3,1.4923,1.2,0.04,-0.4,0.02,-0.0688
12/31/2009,2.1,3.9,0.4,0.45,0.12,2.7,1.5611,0.6,-0.03,4,0.02,-0.0735
9/30/2009,1.5,1.3,0.1,0.43,0.15,-1.3,1.6346,-0.6,-0.06,0.1,0.03,-0.0065
6/30/2009,2.1,-0.5,-0.2,0.4,0.21,-1.4,1.6411,-0.9,0.03,-1,-0.12,0.0911
